sklearn/datasets/_svmlight_format_io.py  [6 edits, last: 2021-05-14]
sklearn/feature_selection/_base.py  [6 edits, last: 2021-02-08]
sklearn/feature_selection/_variance_threshold.py  [6 edits, last: 2020-08-07]
sklearn/mixture/_base.py  [6 edits, last: 2021-03-23]
sklearn/model_selection/_search_successive_halving.py  [6 edits, last: 2021-04-12]
sklearn/neural_network/__init__.py  [6 edits, last: 2019-09-10]
sklearn/preprocessing/_polynomial.py  [6 edits, last: 2021-05-14]
sklearn/utils/_joblib.py  [6 edits, last: 2019-06-04]
sklearn/utils/_pprint.py  [6 edits, last: 2020-10-08]
sklearn/conftest.py  [5 edits, last: 2021-03-18]
sklearn/ensemble/setup.py  [5 edits, last: 2020-11-16]
sklearn/ensemble/_hist_gradient_boosting/predictor.py  [5 edits, last: 2020-11-16]
sklearn/feature_extraction/setup.py  [5 edits, last: 2019-10-25]
sklearn/utils/_encode.py  [5 edits, last: 2021-04-21]
sklearn/decomposition/_base.py  [4 edits, last: 2021-01-29]
sklearn/decomposition/setup.py  [4 edits, last: 2019-10-28]
sklearn/experimental/enable_hist_gradient_boosting.py  [4 edits, last: 2021-04-02]
sklearn/experimental/enable_iterative_imputer.py  [4 edits, last: 2020-06-06]
sklearn/feature_selection/_sequential.py  [4 edits, last: 2021-04-09]
sklearn/metrics/_base.py  [4 edits, last: 2020-09-29]
sklearn/metrics/cluster/_bicluster.py  [4 edits, last: 2021-05-14]
sklearn/metrics/_plot/base.py  [4 edits, last: 2021-03-14]
sklearn/metrics/_plot/det_curve.py  [4 edits, last: 2021-02-12]
sklearn/preprocessing/setup.py  [4 edits, last: 2018-10-19]
sklearn/semi_supervised/__init__.py  [4 edits, last: 2020-11-20]
sklearn/semi_supervised/_self_training.py  [4 edits, last: 2021-02-12]
sklearn/svm/_bounds.py  [4 edits, last: 2021-05-14]
sklearn/utils/_estimator_html_repr.py  [4 edits, last: 2021-03-14]
sklearn/_min_dependencies.py  [3 edits, last: 2021-02-06]
sklearn/compose/__init__.py  [3 edits, last: 2019-11-05]
sklearn/impute/__init__.py  [3 edits, last: 2020-03-30]
sklearn/tree/_reingold_tilford.py  [3 edits, last: 2019-09-23]
sklearn/utils/_mask.py  [3 edits, last: 2020-08-31]
sklearn/_loss/glm_distribution.py  [2 edits, last: 2020-10-05]
sklearn/_distributor_init.py  [1 edits, last: 2019-11-19]
sklearn/ensemble/_hist_gradient_boosting/__init__.py  [1 edits, last: 2019-04-26]
sklearn/experimental/__init__.py  [1 edits, last: 2019-04-26]
sklearn/experimental/enable_halving_search_cv.py  [1 edits, last: 2020-10-09]
sklearn/feature_extraction/_stop_words.py  [1 edits, last: 2019-10-25]
sklearn/inspection/setup.py  [1 edits, last: 2020-02-18]
sklearn/inspection/_plot/__init__.py  [1 edits, last: 2020-02-18]
sklearn/linear_model/_glm/__init__.py  [1 edits, last: 2020-03-04]
sklearn/linear_model/_glm/link.py  [1 edits, last: 2020-03-04]
sklearn/metrics/_plot/__init__.py  [1 edits, last: 2019-08-08]
sklearn/utils/_arpack.py  [1 edits, last: 2020-11-27]
sklearn/utils/_tags.py  [1 edits, last: 2020-12-02]
sklearn/_loss/__init__.py  [1 edits, last: 2020-03-04]
