f1,success,precision,recall,map_condition,model_short,log_codebase_size,codebase_size,issue_id,repo,issue_idx,rep,turns_used,hit_turn_cap,total_input_tokens,total_output_tokens,total_cost,wall_time_seconds
0.0,0,0.0,0.0,baseline,ministral_3b,11.587420505060633,107734,transformers/5,transformers,5,3,10,0,52169,3292,0.004152,29.73
1.0,1,1.0,1.0,baseline,ministral_3b,12.095096391086711,178992,yt-dlp/23,yt-dlp,23,1,10,0,126141,1912,0.007558,35.4
1.0,1,1.0,1.0,baseline,ministral_3b,12.095096391086711,178992,yt-dlp/23,yt-dlp,23,2,5,0,37571,1406,0.002872,22.02
1.0,1,1.0,1.0,baseline,ministral_3b,12.095096391086711,178992,yt-dlp/23,yt-dlp,23,3,7,0,101777,1910,0.009361,32.23
0.0,0,0.0,0.0,baseline,ministral_3b,12.1489730534896,188900,yt-dlp/41,yt-dlp,41,1,9,0,141320,945,0.007579,32.19
0.0,0,0.0,0.0,baseline,ministral_3b,12.1489730534896,188900,yt-dlp/41,yt-dlp,41,2,24,0,763073,2214,0.042107,83.09
0.0,0,0.0,0.0,baseline,ministral_3b,12.1489730534896,188900,yt-dlp/41,yt-dlp,41,3,19,0,122280,1480,0.00244,34.96
0.0,0,0.0,0.0,baseline,ministral_3b,12.198660241414718,198523,yt-dlp/45,yt-dlp,45,1,19,0,464964,2672,0.016305,67.18
0.6667,0,1.0,0.5,baseline,ministral_3b,12.198660241414718,198523,yt-dlp/45,yt-dlp,45,2,8,0,183265,1702,0.011153,33.32
0.0,0,0.0,0.0,baseline,ministral_3b,12.198660241414718,198523,yt-dlp/45,yt-dlp,45,3,4,0,37593,1348,0.002829,23.88
1.0,1,1.0,1.0,baseline,gpt_oss_120b,12.068688124847148,174327,core/16,core,16,1,5,0,37379,1479,0.005784,26.86
1.0,1,1.0,1.0,baseline,gpt_oss_120b,12.068688124847148,174327,core/16,core,16,2,5,0,16551,2672,0.003338,27.63
1.0,1,1.0,1.0,baseline,gpt_oss_120b,12.068688124847148,174327,core/16,core,16,3,6,0,17945,1329,0.00259,16.14
1.0,1,1.0,1.0,baseline,gpt_oss_120b,11.506545154005941,99364,core/20,core,20,1,6,0,27362,2014,0.00289,22.27
1.0,1,1.0,1.0,baseline,gpt_oss_120b,11.506545154005941,99364,core/20,core,20,2,9,0,38529,3044,0.004301,33.72
1.0,1,1.0,1.0,baseline,gpt_oss_120b,11.506545154005941,99364,core/20,core,20,3,9,0,32052,2258,0.003144,27.21
0.0,0,0.0,0.0,baseline,gpt_oss_120b,8.579980179515003,5324,fastapi/17,fastapi,17,1,20,0,144222,9386,0.012865,109.26
0.0,0,0.0,0.0,baseline,gpt_oss_120b,8.579980179515003,5324,fastapi/17,fastapi,17,2,23,0,244458,12022,0.019283,171.48
0.0,0,0.0,0.0,baseline,gpt_oss_120b,8.579980179515003,5324,fastapi/17,fastapi,17,3,12,0,60842,3474,0.004877,38.82
0.0,0,0.0,0.0,baseline,gpt_oss_120b,8.518991573357617,5009,fastapi/20,fastapi,20,1,15,0,49239,6976,0.006876,67.41
0.0,0,0.0,0.0,baseline,gpt_oss_120b,8.518991573357617,5009,fastapi/20,fastapi,20,2,14,0,26629,4677,0.004392,50.12
0.0,0,0.0,0.0,baseline,gpt_oss_120b,8.518991573357617,5009,fastapi/20,fastapi,20,3,5,0,6935,1156,0.001051,13.36
0.5,0,1.0,0.3333,baseline,gpt_oss_120b,8.482187582217422,4828,fastapi/9,fastapi,9,1,5,0,14283,1068,0.002105,16.92
0.5,0,1.0,0.3333,baseline,gpt_oss_120b,8.482187582217422,4828,fastapi/9,fastapi,9,2,7,0,37026,1714,0.004259,21.26
0.5,0,1.0,0.3333,baseline,gpt_oss_120b,8.482187582217422,4828,fastapi/9,fastapi,9,3,5,0,17397,606,0.001529,11.24
0.6667,0,1.0,0.5,baseline,gpt_oss_120b,8.808369153122275,6690,flask/18,flask,18,1,9,0,22137,1765,0.002684,22.01
0.6667,0,1.0,0.5,baseline,gpt_oss_120b,8.808369153122275,6690,flask/18,flask,18,2,4,0,5254,2284,0.001602,21.26
1.0,1,1.0,1.0,baseline,gpt_oss_120b,8.808369153122275,6690,flask/18,flask,18,3,15,0,38327,3043,0.003698,52.36
1.0,1,1.0,1.0,baseline,gpt_oss_120b,8.899457906353966,7328,flask/3,flask,3,1,7,0,12458,1438,0.001815,17.97
1.0,1,1.0,1.0,baseline,gpt_oss_120b,8.899457906353966,7328,flask/3,flask,3,2,13,0,55511,7169,0.006758,65.8
1.0,1,1.0,1.0,baseline,gpt_oss_120b,8.899457906353966,7328,flask/3,flask,3,3,9,0,43494,1687,0.004659,26.39
1.0,1,1.0,1.0,baseline,gpt_oss_120b,8.827468112520654,6819,flask/6,flask,6,1,12,0,39325,5154,0.005446,47.19
1.0,1,1.0,1.0,baseline,gpt_oss_120b,8.827468112520654,6819,flask/6,flask,6,2,5,0,10829,1280,0.001699,13.97
1.0,1,1.0,1.0,baseline,gpt_oss_120b,8.827468112520654,6819,flask/6,flask,6,3,12,0,128232,4584,0.008402,58.5
0.0,0,0.0,0.0,baseline,gpt_oss_120b,8.341410211461865,4194,gpt-engineer/11,gpt-engineer,11,1,11,0,112114,5909,0.010751,80.76
0.0,0,0.0,0.0,baseline,gpt_oss_120b,8.341410211461865,4194,gpt-engineer/11,gpt-engineer,11,2,9,0,69186,2666,0.007693,40.05
0.0,0,0.0,0.0,baseline,gpt_oss_120b,8.341410211461865,4194,gpt-engineer/11,gpt-engineer,11,3,5,0,30841,1873,0.004496,19.38
0.4,0,1.0,0.25,baseline,gpt_oss_120b,8.029432840581244,3070,gpt-engineer/12,gpt-engineer,12,1,9,0,39137,2902,0.004214,34.77
0.4,0,1.0,0.25,baseline,gpt_oss_120b,8.029432840581244,3070,gpt-engineer/12,gpt-engineer,12,2,8,0,27480,2324,0.003299,23.15
0.4,0,1.0,0.25,baseline,gpt_oss_120b,8.029432840581244,3070,gpt-engineer/12,gpt-engineer,12,3,3,0,6082,572,0.000824,7.66
0.6667,1,0.5,1.0,baseline,gpt_oss_120b,8.36380888451688,4289,gpt-engineer/9,gpt-engineer,9,1,7,0,34390,6257,0.006492,60.48
1.0,1,1.0,1.0,baseline,gpt_oss_120b,8.36380888451688,4289,gpt-engineer/9,gpt-engineer,9,2,9,0,53297,6003,0.008888,58.4
0.0,0,0.0,0.0,baseline,gpt_oss_120b,8.36380888451688,4289,gpt-engineer/9,gpt-engineer,9,3,5,0,12851,2459,0.002696,24.67
0.0,0,0.0,0.0,baseline,gpt_oss_120b,10.196231790580173,26802,keras/12,keras,12,1,7,0,20407,2189,0.003338,25.56
0.0,0,0.0,0.0,baseline,gpt_oss_120b,10.196231790580173,26802,keras/12,keras,12,2,7,0,20700,2237,0.003008,21.53
0.2857,0,0.5,0.2,baseline,gpt_oss_120b,10.196231790580173,26802,keras/12,keras,12,3,12,0,43314,5036,0.005911,51.41
0.0,0,0.0,0.0,baseline,gpt_oss_120b,10.349134450277123,31230,keras/5,keras,5,1,10,0,37755,6354,0.006504,60.27
0.0,0,0.0,0.0,baseline,gpt_oss_120b,10.349134450277123,31230,keras/5,keras,5,2,10,0,44362,4311,0.004175,41.38
