scrapy/tests/test_utils_serialize.py  [5 edits, last: 2013-12-30]
scrapy/tests/test_utils_signal.py  [5 edits, last: 2010-08-14]
scrapy/tests/test_spidermanager/__init__.py  [5 edits, last: 2014-04-04]
scrapy/tests/test_utils_misc/__init__.py  [5 edits, last: 2013-08-23]
scrapy/utils/gz.py  [5 edits, last: 2013-08-09]
scrapy/utils/jsonrpc.py  [5 edits, last: 2013-10-20]
scrapy/xlib/pydispatch/robustapply.py  [5 edits, last: 2014-07-14]
scrapy/interfaces.py  [4 edits, last: 2011-08-26]
scrapy/resolver.py  [4 edits, last: 2013-08-23]
scrapy/contracts/default.py  [4 edits, last: 2014-03-06]
scrapy/contrib/djangoitem.py  [4 edits, last: 2013-10-20]
scrapy/contrib/spiders/init.py  [4 edits, last: 2013-12-30]
scrapy/contrib/webservice/enginestatus.py  [4 edits, last: 2011-08-08]
scrapy/templates/project/module/spiders/__init__.py  [4 edits, last: 2012-04-19]
scrapy/tests/test_downloadermiddleware_ajaxcrawlable.py  [4 edits, last: 2014-01-31]
scrapy/tests/test_http_cookies.py  [4 edits, last: 2014-07-14]
scrapy/tests/test_proxy_connect.py  [4 edits, last: 2014-03-19]
scrapy/tests/test_spidermiddleware_urllength.py  [4 edits, last: 2013-12-30]
scrapy/tests/test_utils_datatypes.py  [4 edits, last: 2014-07-14]
scrapy/tests/test_utils_http.py  [4 edits, last: 2011-08-09]
scrapy/utils/http.py  [4 edits, last: 2011-08-09]
scrapy/utils/reactor.py  [4 edits, last: 2011-07-25]
scrapy/utils/template.py  [4 edits, last: 2012-03-01]
scrapy/utils/testsite.py  [4 edits, last: 2014-07-14]
scrapy/xlib/pydispatch/saferef.py  [4 edits, last: 2013-10-22]
scrapy/signalmanager.py  [3 edits, last: 2013-02-27]
scrapy/contrib/downloadermiddleware/httpproxy.py  [3 edits, last: 2014-07-14]
scrapy/contrib/linkextractors/__init__.py  [3 edits, last: 2014-06-25]
scrapy/contrib/webservice/stats.py  [3 edits, last: 2012-08-21]
scrapy/http/common.py  [3 edits, last: 2013-08-23]
scrapy/tests/test_closespider.py  [3 edits, last: 2014-03-19]
scrapy/tests/test_command_fetch.py  [3 edits, last: 2011-06-06]
scrapy/tests/test_contrib_spiderstate.py  [3 edits, last: 2013-12-30]
scrapy/tests/test_downloadermiddleware.py  [3 edits, last: 2013-12-30]
scrapy/tests/test_downloadermiddleware_robotstxt.py  [3 edits, last: 2014-06-10]
scrapy/tests/test_spidermiddleware_referer.py  [3 edits, last: 2013-12-30]
scrapy/tests/test_urlparse_monkeypatches.py  [3 edits, last: 2014-07-14]
scrapy/tests/test_utils_gz.py  [3 edits, last: 2012-10-10]
scrapy/tests/mocks/dummydbm.py  [3 edits, last: 2013-10-20]
scrapy/tests/test_cmdline/extensions.py  [3 edits, last: 2014-06-10]
scrapy/tests/test_djangoitem/models.py  [3 edits, last: 2012-07-26]
scrapy/tests/test_djangoitem/settings.py  [3 edits, last: 2013-07-09]
scrapy/utils/testproc.py  [3 edits, last: 2012-10-03]
scrapy/utils/txweb.py  [3 edits, last: 2013-03-19]
scrapy/xlib/pydispatch/robust.py  [3 edits, last: 2013-10-20]
scrapy/xlib/tx/__init__.py  [3 edits, last: 2013-06-04]
scrapy/xlib/tx/_newclient.py  [3 edits, last: 2014-03-06]
scrapy/conftest.py  [2 edits, last: 2014-04-04]
scrapy/stats.py  [2 edits, last: 2012-08-21]
scrapy/commands/bench.py  [2 edits, last: 2013-08-19]
scrapy/commands/edit.py  [2 edits, last: 2013-08-19]
scrapy/commands/view.py  [2 edits, last: 2010-08-21]
scrapy/contrib/spidermiddleware/referer.py  [2 edits, last: 2012-03-22]
scrapy/contrib/spiders/__init__.py  [2 edits, last: 2011-06-15]
scrapy/contrib/webservice/crawler.py  [2 edits, last: 2011-08-08]
scrapy/core/downloader/handlers/ftp.py  [2 edits, last: 2014-07-14]
scrapy/http/__init__.py  [2 edits, last: 2009-08-17]
scrapy/selector/lxmldocument.py  [2 edits, last: 2012-04-13]
scrapy/tests/test_middleware.py  [2 edits, last: 2010-09-22]
scrapy/tests/test_selector_csstranslator.py  [2 edits, last: 2013-10-15]
