sklearn/utils/_joblib.py  [6 edits, last: 2019-06-04]
sklearn/covariance/_robust_covariance.py  [5 edits, last: 2020-03-03]
sklearn/cross_decomposition/__init__.py  [5 edits, last: 2019-10-30]
sklearn/datasets/_species_distributions.py  [5 edits, last: 2020-06-15]
sklearn/feature_extraction/_dict_vectorizer.py  [5 edits, last: 2020-06-16]
sklearn/feature_extraction/_hash.py  [5 edits, last: 2020-04-15]
sklearn/feature_extraction/setup.py  [5 edits, last: 2019-10-25]
sklearn/feature_selection/_mutual_info.py  [5 edits, last: 2020-06-07]
sklearn/feature_selection/_variance_threshold.py  [5 edits, last: 2020-06-07]
sklearn/linear_model/_passive_aggressive.py  [5 edits, last: 2020-06-06]
sklearn/linear_model/_perceptron.py  [5 edits, last: 2020-06-18]
sklearn/mixture/_base.py  [5 edits, last: 2020-06-06]
sklearn/neighbors/_graph.py  [5 edits, last: 2020-06-18]
sklearn/utils/_pprint.py  [5 edits, last: 2020-05-13]
sklearn/cross_decomposition/_cca.py  [4 edits, last: 2020-06-06]
sklearn/decomposition/setup.py  [4 edits, last: 2019-10-28]
sklearn/ensemble/setup.py  [4 edits, last: 2019-08-21]
sklearn/ensemble/_hist_gradient_boosting/predictor.py  [4 edits, last: 2019-08-21]
sklearn/experimental/enable_iterative_imputer.py  [4 edits, last: 2020-06-06]
sklearn/feature_selection/_base.py  [4 edits, last: 2020-06-07]
sklearn/linear_model/_glm/glm.py  [4 edits, last: 2020-06-07]
sklearn/preprocessing/setup.py  [4 edits, last: 2018-10-19]
sklearn/conftest.py  [3 edits, last: 2020-07-06]
sklearn/compose/__init__.py  [3 edits, last: 2019-11-05]
sklearn/datasets/_svmlight_format_io.py  [3 edits, last: 2020-06-15]
sklearn/experimental/enable_hist_gradient_boosting.py  [3 edits, last: 2020-06-06]
sklearn/impute/__init__.py  [3 edits, last: 2020-03-30]
sklearn/linear_model/_sag.py  [3 edits, last: 2020-04-19]
sklearn/metrics/cluster/_bicluster.py  [3 edits, last: 2020-06-15]
sklearn/metrics/_plot/base.py  [3 edits, last: 2020-07-06]
sklearn/semi_supervised/__init__.py  [3 edits, last: 2019-10-22]
sklearn/svm/_bounds.py  [3 edits, last: 2020-04-23]
sklearn/tree/_reingold_tilford.py  [3 edits, last: 2019-09-23]
sklearn/metrics/_base.py  [2 edits, last: 2020-06-15]
