homeassistant/components/mqtt/binary_sensor.py  [25 edits, last: 2020-09-10]
homeassistant/components/mqtt/light/schema_json.py  [25 edits, last: 2020-09-02]
homeassistant/components/mqtt/light/schema_template.py  [25 edits, last: 2020-09-02]
homeassistant/components/opentherm_gw/climate.py  [25 edits, last: 2020-04-25]
homeassistant/components/prometheus/__init__.py  [25 edits, last: 2020-09-21]
homeassistant/components/ps4/__init__.py  [25 edits, last: 2020-06-09]
homeassistant/components/ring/sensor.py  [25 edits, last: 2020-09-05]
homeassistant/components/telegram_bot/polling.py  [25 edits, last: 2019-12-09]
homeassistant/components/xiaomi_miio/vacuum.py  [25 edits, last: 2020-08-28]
homeassistant/components/august/lock.py  [24 edits, last: 2020-04-25]
homeassistant/components/axis/camera.py  [24 edits, last: 2020-06-04]
homeassistant/components/blink/__init__.py  [24 edits, last: 2020-08-27]
homeassistant/components/cloud/prefs.py  [24 edits, last: 2020-08-28]
homeassistant/components/daikin/climate.py  [24 edits, last: 2020-08-09]
homeassistant/components/deconz/binary_sensor.py  [24 edits, last: 2020-06-02]
homeassistant/components/hassio/http.py  [24 edits, last: 2020-09-15]
homeassistant/components/homematic/sensor.py  [24 edits, last: 2020-09-23]
homeassistant/components/hue/sensor_base.py  [24 edits, last: 2020-08-28]
homeassistant/components/isy994/__init__.py  [24 edits, last: 2020-07-05]
homeassistant/components/modbus/sensor.py  [24 edits, last: 2020-08-28]
homeassistant/components/mqtt/fan.py  [24 edits, last: 2020-09-10]
homeassistant/components/owntracks/device_tracker.py  [24 edits, last: 2020-06-26]
homeassistant/components/rachio/switch.py  [24 edits, last: 2020-08-27]
homeassistant/components/speedtestdotnet/__init__.py  [24 edits, last: 2020-09-14]
homeassistant/components/tplink/light.py  [24 edits, last: 2020-08-27]
homeassistant/components/updater/__init__.py  [24 edits, last: 2020-08-28]
homeassistant/components/zha/core/channels/security.py  [24 edits, last: 2020-04-11]
homeassistant/components/zwave/climate.py  [24 edits, last: 2020-04-25]
homeassistant/auth/models.py  [23 edits, last: 2020-08-27]
homeassistant/components/abode/__init__.py  [23 edits, last: 2020-08-28]
homeassistant/components/ads/__init__.py  [23 edits, last: 2020-08-01]
homeassistant/components/alarmdecoder/alarm_control_panel.py  [23 edits, last: 2020-09-16]
homeassistant/components/braviatv/media_player.py  [23 edits, last: 2020-07-06]
homeassistant/components/geniushub/__init__.py  [23 edits, last: 2020-08-27]
homeassistant/components/http/static.py  [23 edits, last: 2019-12-05]
homeassistant/components/huawei_lte/sensor.py  [23 edits, last: 2020-08-27]
homeassistant/components/influxdb/__init__.py  [23 edits, last: 2020-09-19]
homeassistant/components/mobile_app/__init__.py  [23 edits, last: 2020-08-28]
homeassistant/components/point/__init__.py  [23 edits, last: 2020-05-30]
homeassistant/components/ring/__init__.py  [23 edits, last: 2020-08-27]
homeassistant/components/smartthings/const.py  [23 edits, last: 2020-07-31]
homeassistant/components/smartthings/sensor.py  [23 edits, last: 2020-09-23]
homeassistant/components/squeezebox/media_player.py  [23 edits, last: 2020-09-01]
homeassistant/components/stream/worker.py  [23 edits, last: 2020-09-20]
homeassistant/components/xiaomi_aqara/__init__.py  [23 edits, last: 2020-08-06]
homeassistant/components/zha/core/channels/homeautomation.py  [23 edits, last: 2020-07-17]
homeassistant/exceptions.py  [22 edits, last: 2020-08-19]
homeassistant/components/alexa/const.py  [22 edits, last: 2020-06-23]
homeassistant/components/config/entity_registry.py  [22 edits, last: 2020-02-22]
homeassistant/components/doorbird/__init__.py  [22 edits, last: 2020-09-15]
homeassistant/components/emulated_hue/upnp.py  [22 edits, last: 2020-08-27]
homeassistant/components/homematicip_cloud/cover.py  [22 edits, last: 2020-08-26]
homeassistant/components/http/cors.py  [22 edits, last: 2019-12-05]
homeassistant/components/ihc/__init__.py  [22 edits, last: 2020-02-28]
homeassistant/components/insteon/__init__.py  [22 edits, last: 2020-08-30]
homeassistant/components/knx/__init__.py  [22 edits, last: 2020-09-21]
homeassistant/components/mailbox/__init__.py  [22 edits, last: 2020-05-26]
homeassistant/components/mobile_app/http_api.py  [22 edits, last: 2020-06-21]
homeassistant/components/modbus/climate.py  [22 edits, last: 2020-04-25]
homeassistant/components/mysensors/sensor.py  [22 edits, last: 2020-09-23]
homeassistant/components/smappee/sensor.py  [22 edits, last: 2020-08-27]
homeassistant/components/template/binary_sensor.py  [22 edits, last: 2020-09-08]
homeassistant/components/template/fan.py  [22 edits, last: 2020-09-01]
homeassistant/components/tensorflow/image_processing.py  [22 edits, last: 2020-09-06]
homeassistant/components/tradfri/__init__.py  [22 edits, last: 2020-09-05]
homeassistant/components/unifi/const.py  [22 edits, last: 2020-09-18]
homeassistant/components/utility_meter/sensor.py  [22 edits, last: 2020-09-15]
homeassistant/helpers/intent.py  [22 edits, last: 2020-07-05]
homeassistant/components/cloud/google_config.py  [21 edits, last: 2020-08-28]
