src/transformers/pipelines/text_generation.py  [6 edits, last: 2021-08-31]
src/transformers/convert_slow_tokenizers_checkpoints_to_fast.py  [5 edits, last: 2021-03-31]
src/transformers/feature_extraction_sequence_utils.py  [5 edits, last: 2021-08-16]
src/transformers/generation_stopping_criteria.py  [5 edits, last: 2021-07-29]
src/transformers/image_utils.py  [5 edits, last: 2021-08-04]
src/transformers/modeling_flax_outputs.py  [5 edits, last: 2021-08-04]
src/transformers/commands/download.py  [5 edits, last: 2021-01-07]
src/transformers/commands/env.py  [5 edits, last: 2021-06-21]
src/transformers/commands/transformers_cli.py  [5 edits, last: 2021-01-07]
src/transformers/models/bert/configuration_bert.py  [5 edits, last: 2021-07-26]
src/transformers/models/bert/convert_bert_original_tf2_checkpoint_to_pytorch.py  [5 edits, last: 2021-03-31]
src/transformers/models/bert/tokenization_bert.py  [5 edits, last: 2021-04-26]
src/transformers/models/bert_generation/__init__.py  [5 edits, last: 2021-07-08]
src/transformers/models/clip/modeling_flax_clip.py  [5 edits, last: 2021-08-12]
src/transformers/models/deberta/tokenization_deberta.py  [5 edits, last: 2021-04-09]
src/transformers/models/deberta_v2/__init__.py  [5 edits, last: 2021-08-31]
src/transformers/models/dpr/convert_dpr_original_checkpoint_to_pytorch.py  [5 edits, last: 2021-03-31]
src/transformers/models/electra/__init__.py  [5 edits, last: 2021-07-08]
src/transformers/models/encoder_decoder/__init__.py  [5 edits, last: 2021-08-23]
src/transformers/models/flaubert/__init__.py  [5 edits, last: 2021-07-08]
src/transformers/models/fsmt/convert_fsmt_original_pytorch_checkpoint_to_pytorch.py  [5 edits, last: 2021-04-26]
src/transformers/models/funnel/convert_funnel_original_tf_checkpoint_to_pytorch.py  [5 edits, last: 2021-03-31]
src/transformers/models/gpt2/configuration_gpt2.py  [5 edits, last: 2021-07-08]
src/transformers/models/gpt2/modeling_flax_gpt2.py  [5 edits, last: 2021-08-23]
src/transformers/models/gpt2/tokenization_gpt2_fast.py  [5 edits, last: 2021-06-29]
src/transformers/models/herbert/tokenization_herbert.py  [5 edits, last: 2021-05-04]
src/transformers/models/longformer/convert_longformer_original_pytorch_lightning_to_pytorch.py  [5 edits, last: 2021-06-14]
src/transformers/models/luke/modeling_luke.py  [5 edits, last: 2021-08-31]
src/transformers/models/marian/configuration_marian.py  [5 edits, last: 2021-02-10]
src/transformers/models/mbart/convert_mbart_original_checkpoint_to_pytorch.py  [5 edits, last: 2021-02-15]
src/transformers/models/megatron_bert/modeling_megatron_bert.py  [5 edits, last: 2021-08-31]
src/transformers/models/mobilebert/convert_mobilebert_original_tf_checkpoint_to_pytorch.py  [5 edits, last: 2021-03-31]
src/transformers/models/openai/__init__.py  [5 edits, last: 2021-07-08]
