repo,issue_idx,model,map_condition_raw,rep,n_gt_total,n_gt_touched,frac_gt_touched,n_gt_submitted,frac_gt_submitted,touched_minus_submitted_frac
flask,18,deepseek/deepseek-v4-flash,temporal_frequency,3,2,2,1.0,2,1.0,0.0
flask,18,deepseek/deepseek-v4-flash,temporal_frequency_required,1,2,2,1.0,2,1.0,0.0
flask,18,deepseek/deepseek-v4-flash,temporal_frequency_required,2,2,2,1.0,1,0.5,0.5
flask,18,deepseek/deepseek-v4-flash,temporal_frequency_required,3,2,2,1.0,1,0.5,0.5
flask,18,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,all_tools,1,2,2,1.0,1,0.5,0.5
flask,18,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,all_tools,2,2,2,1.0,1,0.5,0.5
flask,18,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,all_tools,3,2,2,1.0,1,0.5,0.5
flask,18,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,all_tools_required,1,2,2,1.0,2,1.0,0.0
flask,18,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,all_tools_required,2,2,2,1.0,2,1.0,0.0
flask,18,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,all_tools_required,3,2,2,1.0,1,0.5,0.5
flask,18,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,ast_compact,1,2,2,1.0,1,0.5,0.5
flask,18,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,ast_compact,2,2,2,1.0,1,0.5,0.5
flask,18,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,ast_compact,3,2,2,1.0,1,0.5,0.5
flask,18,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,cochange,1,2,2,1.0,1,0.5,0.5
flask,18,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,cochange,2,2,2,1.0,1,0.5,0.5
flask,18,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,cochange,3,2,2,1.0,1,0.5,0.5
flask,18,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,freq,1,2,2,1.0,1,0.5,0.5
flask,18,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,freq,2,2,2,1.0,2,1.0,0.0
flask,18,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,freq,3,2,2,1.0,1,0.5,0.5
flask,18,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,none,1,2,2,1.0,1,0.5,0.5
flask,18,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,none,2,2,0,0.0,1,0.5,-0.5
flask,18,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,none,3,2,2,1.0,2,1.0,0.0
