repo,issue_idx,map_condition_raw,map_condition,n_models,models,pooled_mean_delta_f1,pooled_mean_delta_recall,delta_f1_std,max_minus_median_delta_f1,outlier_model,outlier_model_delta_f1,median_delta_f1,n_helped_f1,n_hurt_f1,n_neutral_f1,per_model_delta_f1
transformers,5,temporal_cochange_required,temporal_cochange_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0466,0.0333,0.201,0.0979,mistral/ministral-3b-latest,0.2063,0.1085,3,1,0,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=-0.237; deepseek/deepseek-v4-flash=+0.046; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.171; mistral/ministral-3b-latest=+0.206
pandas,44,structural_required,structural_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0417,0.0417,0.0833,0.1667,mistral/ministral-3b-latest,0.1667,0.0,1,0,3,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.167
yt-dlp,45,temporal_frequency_required,temporal_frequency_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0417,0.0417,0.1997,0.1389,deepseek/deepseek-v4-flash,0.2222,0.0833,2,1,1,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.222; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=-0.222; mistral/ministral-3b-latest=+0.167
requests,12,all_tools_required,all_tools_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0417,0.0556,0.05,0.0667,mistral/ministral-3b-latest,0.1,0.0333,2,0,2,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.067; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.100
yt-dlp,41,all_tools_required,all_tools_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0417,0.0833,0.1997,0.1389,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.2222,0.0833,2,1,1,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.222; deepseek/deepseek-v4-flash=+0.167; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=-0.222; mistral/ministral-3b-latest=+0.000
localstack,19,temporal_cochange_required,temporal_cochange_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0333,0.0238,0.1284,0.2167,deepseek/deepseek-v4-flash,0.2167,0.0,1,1,2,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.217; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=-0.083
stable-diffusion-webui,5,temporal_cochange_required,temporal_cochange_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0278,0.0,0.1398,0.2222,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.2222,0.0,1,1,2,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.222; deepseek/deepseek-v4-flash=-0.111; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.000
stable-diffusion-webui,5,all_tools_required,all_tools_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0278,0.0,0.2922,0.5,mistral/ministral-3b-latest,0.4445,-0.0556,1,2,1,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=-0.222; deepseek/deepseek-v4-flash=-0.111; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.444
core,16,temporal_frequency_required,temporal_frequency_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0278,0.0,0.2778,0.2778,mistral/ministral-3b-latest,0.3333,0.0555,2,1,1,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=-0.333; deepseek/deepseek-v4-flash=+0.111; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.333
stable-diffusion-webui,5,temporal_frequency_required,temporal_frequency_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0278,0.0417,0.3192,0.5,mistral/ministral-3b-latest,0.4445,-0.0556,2,2,0,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=-0.222; deepseek/deepseek-v4-flash=+0.111; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=-0.222; mistral/ministral-3b-latest=+0.444
core,16,structural_required,structural_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0278,0.0,0.2778,0.2778,mistral/ministral-3b-latest,0.3333,0.0555,2,1,1,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=-0.333; deepseek/deepseek-v4-flash=+0.111; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.333
fastapi,20,temporal_cochange_required,temporal_cochange_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.025,0.0833,0.05,0.1,deepseek/deepseek-v4-flash,0.1,0.0,1,0,3,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.100; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.000
keras,12,temporal_frequency_required,temporal_frequency_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0238,0.0167,0.0912,0.0476,deepseek/deepseek-v4-flash,0.0952,0.0476,2,1,1,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.095; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=-0.095; mistral/ministral-3b-latest=+0.095
gpt-engineer,12,temporal_cochange_required,temporal_cochange_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0222,0.0208,0.0444,0.0889,mistral/ministral-3b-latest,0.0889,0.0,1,0,3,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.089
localstack,19,temporal_frequency_required,temporal_frequency_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0208,0.0119,0.1049,0.1667,deepseek/deepseek-v4-flash,0.1667,0.0,1,1,2,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.167; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=-0.083
scrapy,48,structural_required,structural_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0139,0.0,0.2048,0.2778,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.2778,0.0,1,1,2,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.278; deepseek/deepseek-v4-flash=-0.222; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.000
pandas,44,temporal_cochange_required,temporal_cochange_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0139,0.0,0.1596,0.2222,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.2222,0.0,1,1,2,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.222; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=-0.167
pandas,44,temporal_frequency_required,temporal_frequency_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0139,0.0,0.0278,0.0556,mistral/ministral-3b-latest,0.0556,0.0,1,0,3,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.056
rich,12,temporal_frequency_required,temporal_frequency_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0111,0.0,0.0222,0.0444,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.0444,0.0,1,0,3,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.044; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.000
thefuck,10,structural_required,structural_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0083,0.0,0.0167,0.0333,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.0333,0.0,1,0,3,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.033; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.000
yt-dlp,23,all_tools_required,all_tools_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0,0.0,0.0,0.0,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.0,0.0,0,0,4,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.000
transformers,27,all_tools_required,all_tools_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0,0.0,0.0,0.0,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.0,0.0,0,0,4,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.000
transformers,25,all_tools_required,all_tools_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0,0.0,0.0,0.0,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.0,0.0,0,0,4,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.000
requests,12,structural_required,structural_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0,0.0,0.0,0.0,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.0,0.0,0,0,4,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.000
scikit-learn,49,structural_required,structural_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0,0.0,0.0,0.0,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.0,0.0,0,0,4,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.000
scikit-learn,5,structural_required,structural_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0,0.0,0.0,0.0,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.0,0.0,0,0,4,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.000
stable-diffusion-webui,13,structural_required,structural_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0,0.0,0.0,0.0,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.0,0.0,0,0,4,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.000
scrapy,20,structural_required,structural_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0,0.0,0.0,0.0,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.0,0.0,0,0,4,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.000
stable-diffusion-webui,0,structural_required,structural_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0,0.0,0.0,0.0,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.0,0.0,0,0,4,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.000
fastapi,20,structural_required,structural_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0,0.0,0.0,0.0,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.0,0.0,0,0,4,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.000
flask,6,structural_required,structural_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0,0.0,0.0,0.0,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.0,0.0,0,0,4,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.000
thefuck,5,structural_required,structural_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0,0.0,0.0,0.0,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.0,0.0,0,0,4,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.000
transformers,25,structural_required,structural_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0,0.0,0.0,0.0,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.0,0.0,0,0,4,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.000
flask,6,temporal_frequency_required,temporal_frequency_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0,0.0,0.0,0.0,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.0,0.0,0,0,4,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.000
core,20,temporal_frequency_required,temporal_frequency_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0,0.0,0.0,0.0,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.0,0.0,0,0,4,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.000
transformers,27,structural_required,structural_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0,0.0,0.0,0.0,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.0,0.0,0,0,4,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.000
yt-dlp,23,structural_required,structural_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0,0.0,0.0,0.0,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.0,0.0,0,0,4,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.000
fastapi,17,temporal_frequency_required,temporal_frequency_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0,0.0,0.0,0.0,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.0,0.0,0,0,4,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.000
fastapi,17,structural_required,structural_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0,0.0,0.0,0.0,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.0,0.0,0,0,4,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.000
fastapi,9,structural_required,structural_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0,0.0,0.0,0.0,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.0,0.0,0,0,4,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.000
pandas,35,structural_required,structural_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0,0.0,0.0,0.0,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.0,0.0,0,0,4,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.000
stable-diffusion-webui,0,all_tools_required,all_tools_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0,0.0,0.0,0.0,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.0,0.0,0,0,4,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.000
thefuck,10,all_tools_required,all_tools_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0,0.0,0.2177,0.2667,deepseek/deepseek-v4-flash,0.2667,0.0,1,1,2,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=-0.267; deepseek/deepseek-v4-flash=+0.267; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.000
thefuck,20,all_tools_required,all_tools_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0,0.0,0.0,0.0,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.0,0.0,0,0,4,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.000
scrapy,20,all_tools_required,all_tools_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0,0.0,0.0,0.0,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.0,0.0,0,0,4,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.000
keras,12,all_tools_required,all_tools_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0,0.0,0.0778,0.0952,deepseek/deepseek-v4-flash,0.0952,0.0,1,1,2,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.095; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=-0.095; mistral/ministral-3b-latest=+0.000
