batch,requested_model,task_idx,map_type,rep,input_tokens,output_tokens,cost,turns,wall_time,stop_reason,precision,recall,f1,model
batch2_small_label,mistral/devstral-small-latest,0,ast,0,287944,1454,0.062143,14,52.48,submitted,1.0,1.0,1.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,0,ast,1,282146,1107,0.023245,15,37.31,submitted,1.0,1.0,1.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,0,ast,2,339975,1191,0.02465,17,67.51,submitted,1.0,1.0,1.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,0,ast,3,433870,1020,0.082148,20,63.96,max_turns,0.0,0.0,0.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,0,ast,4,302908,988,0.017462,16,46.22,submitted,1.0,1.0,1.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,0,none,0,79597,1339,0.016571,20,40.5,max_turns,0.5,1.0,0.6667,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,0,none,1,65157,890,0.007632,20,36.82,max_turns,1.0,1.0,1.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,0,none,2,72222,821,0.014928,20,32.67,max_turns,1.0,1.0,1.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,0,none,3,92419,629,0.018174,20,32.42,max_turns,0.0,0.0,0.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,0,none,4,151721,995,0.030794,15,37.46,submitted,1.0,1.0,1.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,12,ast_compact,0,58901,628,0.019888,7,28.06,submitted,1.0,1.0,1.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,12,ast_compact,1,199954,1738,0.026248,20,56.49,max_turns,1.0,1.0,1.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,12,ast_compact,2,82852,799,0.012211,10,27.77,submitted,1.0,0.3333,0.5,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,12,ast_compact,3,200529,1516,0.044184,16,44.06,submitted,1.0,1.0,1.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,12,ast_compact,4,109997,1151,0.028963,10,29.41,submitted,1.0,0.6667,0.8,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,12,ast,0,261364,1150,0.02705,14,40.53,submitted,1.0,0.6667,0.8,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,12,ast,1,156319,643,0.037222,9,27.32,submitted,1.0,0.3333,0.5,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,12,ast,2,199826,1376,0.051809,11,40.97,submitted,1.0,1.0,1.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,12,ast,3,162876,731,0.03348,9,29.31,submitted,1.0,0.6667,0.8,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,12,ast,4,418164,1455,0.063091,20,69.9,max_turns,1.0,0.6667,0.8,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,12,none,0,128870,934,0.024942,20,47.76,submitted,1.0,1.0,1.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,12,none,1,20191,363,0.004246,8,13.73,submitted,1.0,0.6667,0.8,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,12,none,2,82366,528,0.013196,15,20.27,submitted,1.0,0.3333,0.5,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,12,none,3,37929,369,0.009273,10,17.68,submitted,1.0,0.3333,0.5,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,12,none,4,92702,604,0.022225,14,26.99,submitted,1.0,1.0,1.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,14,ast_compact,0,188237,2187,0.022542,15,47.7,submitted,0.0,0.0,0.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,14,ast_compact,1,307011,1566,0.048253,20,61.4,max_turns,0.0,0.0,0.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,14,ast_compact,2,327433,2443,0.056154,20,79.21,max_turns,0.0,0.0,0.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,14,ast_compact,3,239184,1733,0.033469,18,59.63,submitted,0.0,0.0,0.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,14,ast_compact,4,39647,937,0.013605,4,36.77,submitted,0.0,0.0,0.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,14,ast,0,115710,817,0.012308,6,21.52,submitted,0.0,0.0,0.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,14,ast,1,160782,830,0.030139,9,24.93,submitted,0.0,0.0,0.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,14,ast,2,76420,725,0.016133,4,29.01,submitted,1.0,1.0,1.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,14,ast,3,456682,1608,0.067322,20,51.5,max_turns,0.0,0.0,0.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,14,ast,4,650986,1127,0.125215,20,62.6,max_turns,0.0,0.0,0.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,14,none,0,199437,1141,0.040239,20,55.99,submitted,0.0,0.0,0.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,14,none,1,210169,878,0.048153,20,52.61,max_turns,0.0,0.0,0.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,14,none,2,286760,1021,0.051805,20,33.98,max_turns,0.5,1.0,0.6667,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,14,none,3,278629,1044,0.064503,20,39.48,max_turns,0.5,1.0,0.6667,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,14,none,4,332378,857,0.074121,20,42.9,submitted,0.0,0.0,0.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,15,ast_compact,0,60768,623,0.015582,7,18.39,submitted,1.0,1.0,1.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,15,ast_compact,1,51026,537,0.017721,6,13.16,submitted,1.0,1.0,1.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,15,ast_compact,2,60172,636,0.011875,7,14.75,submitted,1.0,1.0,1.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,15,ast_compact,3,89738,582,0.012426,10,19.85,submitted,1.0,1.0,1.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,15,ast_compact,4,98328,774,0.014217,11,18.02,submitted,1.0,1.0,1.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,15,ast,0,140437,517,0.049657,8,27.66,submitted,1.0,1.0,1.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,15,ast,1,145702,698,0.036867,8,44.51,submitted,1.0,1.0,1.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,15,ast,2,164508,631,0.018592,9,23.88,submitted,1.0,1.0,1.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,15,ast,3,142469,623,0.043251,8,25.99,submitted,1.0,1.0,1.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,15,ast,4,141903,738,0.023056,8,25.22,submitted,1.0,1.0,1.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,15,none,0,26599,761,0.005173,11,21.21,submitted,1.0,1.0,1.0,devstral-medium-2512
