model_dir,model_short,model,task_idx,map_type,rep,issue_title,base_commit,input_tokens,output_tokens,cost,turns,wall_time,stop_reason,precision,recall,f1,empty_prediction,n_predicted_files,n_ground_truth_files,model_pair,pair_name,model_size,provider,architecture,task_type,cached_tokens,cost_usd,cost_usd_uncached
fireworks_ai_accounts_fireworks_models_gpt-oss-120b,gpt-oss-120b,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,12,ast,1,Not possible to specify max_retries in v1.X?,be62645dd56580dd7576032b348cf79d880851d8,256372,5904,0.041998,17,68.73,end_turn,1.0,0.6667,0.8,False,2,3,2,gpt-oss,large,fireworks,MoE,multi_file,205707,0.041998,0.041998
fireworks_ai_accounts_fireworks_models_gpt-oss-120b,gpt-oss-120b,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,12,ast,2,Not possible to specify max_retries in v1.X?,be62645dd56580dd7576032b348cf79d880851d8,153545,3557,0.025166,10,43.34,end_turn,1.0,0.6667,0.8,False,2,3,2,gpt-oss,large,fireworks,MoE,multi_file,116012,0.025166,0.025166
fireworks_ai_accounts_fireworks_models_gpt-oss-120b,gpt-oss-120b,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,12,ast,3,Not possible to specify max_retries in v1.X?,be62645dd56580dd7576032b348cf79d880851d8,233589,4198,0.037557,16,47.6,end_turn,1.0,0.3333,0.5,False,1,3,2,gpt-oss,large,fireworks,MoE,multi_file,203172,0.037557,0.037557
fireworks_ai_accounts_fireworks_models_gpt-oss-120b,gpt-oss-120b,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,12,ast,4,Not possible to specify max_retries in v1.X?,be62645dd56580dd7576032b348cf79d880851d8,229322,4821,0.037291,15,53.92,end_turn,1.0,0.3333,0.5,False,1,3,2,gpt-oss,large,fireworks,MoE,multi_file,212183,0.037291,0.037291
fireworks_ai_accounts_fireworks_models_gpt-oss-120b,gpt-oss-120b,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,12,none,0,Not possible to specify max_retries in v1.X?,be62645dd56580dd7576032b348cf79d880851d8,87113,2270,0.014429,17,37.72,end_turn,1.0,0.3333,0.5,False,1,3,2,gpt-oss,large,fireworks,MoE,multi_file,62884,0.014429,0.014429
fireworks_ai_accounts_fireworks_models_gpt-oss-120b,gpt-oss-120b,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,12,none,1,Not possible to specify max_retries in v1.X?,be62645dd56580dd7576032b348cf79d880851d8,25118,4551,0.006498,8,47.89,end_turn,1.0,0.6667,0.8,False,2,3,2,gpt-oss,large,fireworks,MoE,multi_file,10951,0.006498,0.006498
fireworks_ai_accounts_fireworks_models_gpt-oss-120b,gpt-oss-120b,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,12,none,2,Not possible to specify max_retries in v1.X?,be62645dd56580dd7576032b348cf79d880851d8,24943,2973,0.005525,11,25.85,submitted,1.0,0.3333,0.5,False,1,3,2,gpt-oss,large,fireworks,MoE,multi_file,19452,0.005525,0.005525
fireworks_ai_accounts_fireworks_models_gpt-oss-120b,gpt-oss-120b,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,12,none,3,Not possible to specify max_retries in v1.X?,be62645dd56580dd7576032b348cf79d880851d8,23188,2459,0.004954,8,23.36,end_turn,1.0,0.3333,0.5,False,1,3,2,gpt-oss,large,fireworks,MoE,multi_file,15029,0.004954,0.004954
fireworks_ai_accounts_fireworks_models_gpt-oss-120b,gpt-oss-120b,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,12,none,4,Not possible to specify max_retries in v1.X?,be62645dd56580dd7576032b348cf79d880851d8,32263,1479,0.005727,10,20.15,end_turn,1.0,0.6667,0.8,False,2,3,2,gpt-oss,large,fireworks,MoE,multi_file,19751,0.005727,0.005727
fireworks_ai_accounts_fireworks_models_gpt-oss-120b,gpt-oss-120b,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,14,ast_compact,0,Authentication Handlers lost on redirect.,4683f169909857d663275346655975af7190fd62,110872,9911,0.022577,12,95.28,end_turn,0.0,0.0,0.0,True,0,1,2,gpt-oss,large,fireworks,MoE,single_file,95747,0.022577,0.022577
fireworks_ai_accounts_fireworks_models_gpt-oss-120b,gpt-oss-120b,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,14,ast_compact,1,Authentication Handlers lost on redirect.,4683f169909857d663275346655975af7190fd62,59835,6745,0.013022,7,137.24,end_turn,0.0,0.0,0.0,True,0,1,2,gpt-oss,large,fireworks,MoE,single_file,39529,0.013022,0.013022
fireworks_ai_accounts_fireworks_models_gpt-oss-120b,gpt-oss-120b,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,14,ast_compact,2,Authentication Handlers lost on redirect.,4683f169909857d663275346655975af7190fd62,80120,5327,0.015214,7,51.7,end_turn,0.5,1.0,0.6667,False,2,1,2,gpt-oss,large,fireworks,MoE,single_file,57377,0.015214,0.015214
fireworks_ai_accounts_fireworks_models_gpt-oss-120b,gpt-oss-120b,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,14,ast_compact,3,Authentication Handlers lost on redirect.,4683f169909857d663275346655975af7190fd62,114736,10405,0.023453,13,96.97,end_turn,0.0,0.0,0.0,False,1,1,2,gpt-oss,large,fireworks,MoE,single_file,102592,0.023453,0.023453
fireworks_ai_accounts_fireworks_models_gpt-oss-120b,gpt-oss-120b,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,14,ast_compact,4,Authentication Handlers lost on redirect.,4683f169909857d663275346655975af7190fd62,100769,8183,0.020025,11,70.82,end_turn,0.0,0.0,0.0,False,1,1,2,gpt-oss,large,fireworks,MoE,single_file,78731,0.020025,0.020025
fireworks_ai_accounts_fireworks_models_gpt-oss-120b,gpt-oss-120b,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,14,ast,0,Authentication Handlers lost on redirect.,4683f169909857d663275346655975af7190fd62,188301,7300,0.032625,8,79.77,end_turn,0.0,0.0,0.0,False,1,1,2,gpt-oss,large,fireworks,MoE,single_file,161448,0.032625,0.032625
